"respondent_id","gender","age","brand1","brand2","brand3","brand4","brand5","brand6","brand7","brand8","brand9","brand10"
1,"Male",45,"VW","Mercedes","Audi","Hyundai","Daewoo",,,,,
2,"Male",35,"Porsche","BMW","VW",,,,,,,
3,"Female",40,"Audi","Honda","Toyota","Renault",,,,,,
4,"Female",46,"Daewoo","Opel","VW","Chrysler","BMW",,,,,
5,"Female",30,"Lexus","Volvo",,,,,,,,
6,"Male",31,"Dodge","VW","Porsche","Honda","Toyota","Audi",,,,
7,"Male",,"Toyota","Dodge","Ford","Opel",,,,,,
8,"Male",49,"BMW","Porsche",,,,,,,,
9,"Male",31,"Audi","Lexus",,,,,,,,
10,"Female",,"Volvo","Chrysler","VW","BMW","Ford","Peugeot",,,,
11,"Male",36,"Audi","Daewoo","VW",,,,,,,
12,"Male",27,"Volvo","Fiat","BMW",,,,,,,
13,"Female",27,"Hyundai","Audi","Ford","Volvo",,,,,,
14,"Female",38,"Ford","Opel",,,,,,,,
15,"Male",33,"Hyundai","VW","Volvo",,,,,,,
16,"Male",47,"Toyota","Fiat","Chrysler","Hyundai","Renault",,,,,
17,"Male",32,"Porsche",,,,,,,,,
18,"Female",63,"Hyundai","Renault",,,,,,,,
19,"Female",46,"Porsche","Dodge","Hyundai","VW",,,,,,
20,"Male",31,"Honda","Lexus",,,,,,,,
21,"Female",31,"BMW","Volvo","Daewoo","Hyundai",,,,,,
22,"Female",43,"VW","Fiat","Daewoo","Audi","Dodge","BMW","Mercedes","Volvo",,
23,"Male",44,"VW","BMW","Honda",,,,,,,
24,"Female",48,"BMW","Chrysler","Honda",,,,,,,
25,"Female",22,"VW","Audi","BMW","Mercedes","Toyota",,,,,
26,"Male",34,"VW","Honda",,,,,,,,
27,"Male",33,"BMW","Audi","Honda","Fiat","Lexus","Porsche","Toyota",,,
28,"Female",46,"Chrysler","Daewoo","Toyota","Peugeot",,,,,,
29,"Male",42,"BMW","Dodge","Opel","Audi","Mercedes","Fiat",,,,
30,"Male",38,"Fiat","Ford","Honda","BMW","Opel","Hyundai","Lexus","Dodge","Toyota",
31,"Female",37,"VW","Fiat","Opel",,,,,,,
32,"Male",,"Chrysler",,,,,,,,,
33,"Male",20,"VW","Dodge",,,,,,,,
34,"Male",53,"VW","Volvo","Chrysler",,,,,,,
35,"Male",34,"Dodge","Audi","BMW",,,,,,,
36,"Male",48,"BMW","VW","Dodge","Porsche",,,,,,
37,"Female",53,"Dodge","Honda","BMW","Audi","Volvo",,,,,
38,"Male",43,"VW","Fiat",,,,,,,,
39,"Male",36,"BMW","VW","Audi",,,,,,,
40,"Male",33,"BMW","Volvo","Honda","Ford",,,,,,
41,"Female",,"Audi","Opel","Volvo","Ford",,,,,,
42,"Female",45,"Chrysler","VW","Daewoo","Fiat",,,,,,
43,"Male",37,"VW","Audi","Honda","Mercedes","Volvo",,,,,
44,"Female",53,"Opel","Ford","Peugeot",,,,,,,
45,"Female",62,"Lexus","Peugeot",,,,,,,,
46,"Female",28,"VW","Mercedes","Audi","Toyota","BMW","Fiat","Opel",,,
47,"Male",59,"BMW",,,,,,,,,
48,"Female",30,"Ford","Volvo","Renault","Mercedes",,,,,,
49,"Male",,"Porsche","Ford","VW","Honda",,,,,,
50,"Male",49,"Fiat","VW","Volvo","Chrysler",,,,,,
51,"Female",51,"Ford","Audi","Fiat","Honda","VW",,,,,
52,"Male",38,"Fiat","Dodge",,,,,,,,
53,"Female",37,"Renault",,,,,,,,,
54,"Male",42,"Dodge","Fiat","Porsche",,,,,,,
55,"Male",50,"BMW","Honda","VW","Opel",,,,,,
56,"Male",47,"Honda","VW","Mercedes",,,,,,,
57,"Female",52,"Ford","Renault",,,,,,,,
58,"Female",40,"Ford","Volvo",,,,,,,,
59,"Female",,"Dodge","Honda","Peugeot","Toyota","Hyundai",,,,,
60,"Male",51,"VW","Opel","Dodge",,,,,,,
61,"Male",43,"VW","Hyundai","Chrysler",,,,,,,
62,,20,"Renault","Porsche","VW","Toyota",,,,,,
63,"Male",43,"Renault","BMW","VW",,,,,,,
64,"Male",41,"Daewoo","BMW","Hyundai",,,,,,,
65,"Female",,"Mercedes","Audi","VW",,,,,,,
66,"Female",30,"VW","Fiat","Honda",,,,,,,
67,"Male",38,"Dodge","Ford","VW","Lexus","Toyota","Fiat",,,,
68,"Female",26,"Lexus","VW","Daewoo","Opel","Toyota","Mercedes","Fiat","BMW",,
69,"Male",,"Lexus","Opel","Mercedes","Peugeot",,,,,,
70,"Male",41,"Daewoo","VW","Toyota","Audi",,,,,,
71,"Male",22,"Hyundai",,,,,,,,,
72,"Male",50,"Renault","Audi","Porsche","Ford","Hyundai","Toyota","Dodge","Peugeot",,
73,"Male",38,"VW","BMW","Fiat",,,,,,,
74,"Female",46,"Lexus","Porsche","Daewoo",,,,,,,
75,"Male",48,"Audi","Opel",,,,,,,,
76,"Female",39,"Renault",,,,,,,,,
